Order_Item_ID,Order_ID,Product_ID,Quantity,Unit_Price
1,1,1304,3,9598.33
2,1,1255,3,1827.72
3,1,978,3,8916.26
4,2,1224,2,1341.07
5,2,647,2,1131.58
6,2,944,2,8739.11
7,3,575,2,8860.7
8,3,1352,2,4674.03
9,3,1016,2,8620.96
10,3,813,2,1813.29
11,4,1975,3,6666.69
12,4,1464,1,7054.56
13,4,451,2,272.91
14,5,805,3,9459.01
15,6,1863,1,7805.33
16,6,436,1,7678.7
17,6,618,1,7802.34
18,7,227,2,3867.59
19,7,1437,2,8338.86
20,8,409,3,4921.88
21,8,279,3,7281.31
22,8,582,3,3505.8
23,9,1416,3,2807.45
24,9,273,1,7354.36
25,9,628,2,6085.41
26,10,28,1,1886.03
27,11,1172,3,5445.46
28,11,393,2,6105.24
29,11,1935,3,8374.34
30,12,1714,1,6252.8
31,13,1727,3,5588.41
32,13,206,3,1002.29
33,13,1960,3,7542.96
34,14,866,2,9513.58
35,14,155,2,5546.45
36,15,1191,1,232.63
37,15,661,3,6705.45
38,15,1365,1,6371.53
39,15,1100,1,2395.86
40,16,846,2,7148.95
41,16,419,3,2153.06
42,16,937,3,3648.23
43,16,1540,1,2312.65
44,17,658,2,4641.79
45,18,1568,2,6576.5
46,18,187,1,8399.45
47,19,1020,2,1638.3
48,20,1984,3,6044.74
49,21,121,3,8063.47
50,21,1912,1,4334.69
51,21,663,2,108.4
52,22,230,1,7846.33
53,22,1866,2,4979.59
54,22,564,1,3215.85
55,23,1486,3,9619.33
56,23,1245,2,6090.63
57,24,1984,3,6044.74
58,24,306,3,9316.08
59,25,1363,3,2282.4
60,26,1200,2,5757.43
61,26,6,1,3778.15
62,26,1621,1,7573.6
63,27,1623,3,1552.39
64,27,1713,1,3425.9
65,28,690,3,1764.81
66,28,731,3,8126.51
67,28,1258,3,2401.19
68,29,1169,1,9178.83
69,29,1870,2,8952.24
70,29,144,3,1227.33
71,30,228,2,2464.54
72,30,802,2,8610.58
73,30,661,1,6705.45
74,30,777,1,941.53
