Order_ID,Customer_ID,Order_Date,Order_Status,Shipping_Address_ID,Payment_Status
1,3226,2025-06-12,Cancelled,6025,Unpaid
2,4246,2023-07-15,Cancelled,5373,Refunded
3,3173,2024-03-19,Cancelled,5072,Unpaid
4,4779,2023-10-30,Pending,2172,Unpaid
5,642,2024-04-25,Cancelled,2897,Refunded
6,1955,2023-12-30,Cancelled,6994,Unpaid
7,2071,2025-02-06,Cancelled,5307,Paid
8,1063,2024-05-23,Cancelled,193,Unpaid
9,1978,2023-10-03,Cancelled,4057,Paid
10,4920,2025-04-30,Pending,46,Refunded
11,2236,2023-10-11,Pending,6814,Refunded
12,4295,2024-06-30,Pending,3264,Unpaid
13,1860,2024-08-28,Pending,5110,Unpaid
14,2727,2025-04-22,Delivered,1942,Unpaid
15,2863,2024-03-29,Cancelled,4539,Paid
16,3949,2024-05-22,Pending,60,Unpaid
17,1881,2024-05-23,Pending,1769,Paid
18,4372,2023-11-21,Cancelled,3301,Refunded
19,1545,2024-01-15,Delivered,5912,Refunded
20,991,2025-05-02,Delivered,3335,Refunded
21,3112,2023-08-28,Cancelled,6065,Refunded
22,352,2024-05-01,Pending,2267,Paid
23,3889,2025-03-24,Delivered,3757,Paid
24,454,2023-09-19,Cancelled,716,Unpaid
25,11,2023-08-16,Pending,3165,Paid
26,1448,2025-03-05,Pending,2110,Paid
27,2575,2025-01-19,Delivered,376,Refunded
28,1157,2025-03-23,Cancelled,2958,Refunded
29,1888,2023-07-20,Pending,3703,Refunded
30,4764,2024-03-18,Cancelled,1688,Paid
31,2387,2024-05-01,Cancelled,3828,Unpaid
32,3499,2023-10-17,Cancelled,5667,Unpaid
33,3538,2023-11-18,Pending,306,Paid
34,1790,2024-04-04,Delivered,3979,Paid
35,4673,2025-06-06,Pending,3888,Unpaid
36,914,2024-12-15,Cancelled,4872,Paid
37,440,2023-07-26,Pending,6209,Refunded
38,2324,2024-03-29,Delivered,438,Paid
39,174,2024-07-25,Delivered,5147,Unpaid
40,3574,2024-10-17,Delivered,3957,Refunded
41,903,2024-11-07,Pending,4886,Unpaid
42,942,2025-06-13,Cancelled,2450,Refunded
43,2150,2023-11-12,Pending,3781,Unpaid
44,4635,2025-05-15,Pending,3845,Paid
45,4247,2024-01-16,Delivered,1934,Paid
46,3499,2024-03-13,Delivered,2160,Unpaid
47,1761,2024-04-11,Cancelled,3664,Refunded
48,3041,2024-09-22,Cancelled,5783,Unpaid
49,4327,2025-02-06,Pending,1724,Unpaid
50,188,2024-07-15,Cancelled,5478,Refunded
51,1503,2023-08-12,Cancelled,260,Paid
52,3829,2024-10-21,Delivered,5950,Unpaid
53,4325,2025-06-02,Cancelled,2738,Unpaid
54,3854,2023-12-21,Delivered,3940,Paid
55,4439,2025-03-26,Pending,981,Paid
56,4913,2023-09-03,Delivered,1960,Refunded
57,3270,2024-02-10,Delivered,1790,Refunded
58,900,2024-05-01,Delivered,1537,Unpaid
59,3783,2023-08-26,Cancelled,2982,Refunded
60,4819,2023-12-01,Pending,2438,Refunded
61,840,2025-05-02,Pending,6033,Paid
62,2036,2025-05-23,Cancelled,3369,Refunded
63,3653,2024-07-19,Delivered,2740,Refunded
64,4138,2024-07-15,Delivered,4009,Refunded
65,542,2025-03-18,Delivered,5145,Unpaid
66,2977,2024-12-31,Delivered,246,Unpaid
67,2190,2025-06-01,Delivered,4063,Paid
68,3728,2024-10-31,Pending,1680,Refunded
69,2469,2025-03-13,Cancelled,4350,Refunded
70,2203,2024-11-13,Pending,1608,Paid
71,1868,2025-01-04,Cancelled,4240,Unpaid
72,3789,2024-05-22,Delivered,3546,Unpaid
73,2333,2024-04-29,Pending,5558,Paid
74,2385,2023-09-30,Cancelled,5081,Paid
75,3926,2023-09-21,Delivered,4212,Paid
76,82,2024-01-26,Delivered,965,Unpaid
77,4540,2025-05-16,Pending,2006,Refunded
78,3195,2024-02-20,Cancelled,2013,Refunded
79,678,2025-02-01,Cancelled,4035,Refunded
80,4254,2023-11-23,Cancelled,6113,Refunded
81,4118,2023-11-13,Cancelled,2139,Unpaid
82,342,2025-04-08,Pending,4604,Refunded
83,4691,2024-10-12,Cancelled,6083,Refunded
84,1767,2024-11-17,Delivered,1638,Paid
85,276,2024-09-03,Cancelled,5131,Unpaid
86,3570,2025-03-15,Delivered,6921,Refunded
87,2804,2024-12-27,Delivered,3468,Refunded
88,444,2024-07-22,Delivered,6089,Unpaid
89,1303,2025-06-03,Delivered,6828,Refunded
90,310,2023-07-29,Delivered,4973,Refunded
91,3295,2023-07-25,Cancelled,1605,Paid
92,175,2025-02-15,Pending,6739,Paid
93,2015,2024-11-10,Cancelled,6961,Unpaid
94,2889,2024-09-26,Cancelled,27,Paid
95,241,2023-09-08,Cancelled,4893,Refunded
96,4860,2024-06-22,Delivered,6581,Unpaid
97,2255,2024-01-21,Delivered,6589,Paid
98,3793,2024-08-14,Delivered,1339,Paid
99,963,2025-06-07,Delivered,5145,Refunded
100,2927,2025-03-26,Delivered,766,Refunded
101,2674,2024-06-18,Delivered,181,Unpaid
102,1049,2024-10-21,Delivered,643,Refunded
103,4356,2023-12-14,Delivered,5733,Paid
104,3150,2023-09-30,Pending,1035,Paid
105,2466,2023-10-25,Pending,1020,Refunded
106,267,2025-01-09,Pending,1946,Paid
107,2840,2023-09-27,Cancelled,4348,Unpaid
108,3673,2024-04-26,Delivered,4229,Unpaid
109,3633,2024-06-11,Cancelled,4916,Unpaid
110,1676,2024-07-21,Pending,6647,Refunded
111,1232,2024-04-19,Cancelled,6808,Refunded
112,2700,2025-06-02,Pending,5570,Unpaid
113,1940,2024-07-21,Pending,6799,Paid
114,3070,2023-11-08,Delivered,4390,Paid
115,3982,2024-07-08,Delivered,5559,Paid
116,4221,2024-03-23,Delivered,3577,Unpaid
117,1078,2024-07-05,Pending,2909,Paid
118,4133,2025-06-09,Cancelled,1513,Unpaid
119,2992,2023-11-20,Pending,3826,Refunded
120,3431,2024-08-04,Pending,6418,Refunded
121,650,2024-03-31,Cancelled,2773,Refunded
122,337,2024-09-03,Delivered,440,Refunded
123,1016,2023-09-04,Pending,3468,Refunded
124,2690,2023-11-08,Cancelled,2145,Refunded
125,4111,2024-12-20,Cancelled,3176,Paid
126,2774,2023-06-23,Delivered,6755,Refunded
127,2410,2025-02-08,Pending,4542,Unpaid
128,4794,2024-05-11,Pending,944,Refunded
129,2666,2025-04-24,Pending,250,Refunded
130,4687,2023-10-29,Delivered,5361,Unpaid
131,2361,2024-09-09,Cancelled,5832,Unpaid
132,337,2023-08-05,Delivered,2724,Paid
133,3635,2024-05-20,Cancelled,4880,Unpaid
134,2840,2025-05-31,Cancelled,4927,Refunded
135,1724,2023-12-15,Cancelled,2725,Refunded
136,4185,2024-07-17,Delivered,508,Refunded
137,1099,2024-03-05,Pending,1250,Unpaid
138,3594,2024-06-27,Cancelled,2458,Unpaid
139,3703,2023-12-31,Pending,4069,Unpaid
140,2225,2024-05-31,Cancelled,4706,Paid
141,3031,2023-06-21,Cancelled,5801,Paid
