Payment_ID,Order_ID,Payment_Method,Amount,Payment_Date,Payment_Status
1,1,COD,7167.97,2024-03-27,Refunded
2,2,UPI,8001.11,2024-12-28,Paid
3,3,COD,11964.94,2025-05-02,Refunded
4,4,Debit Card,12736.71,2024-04-25,Paid
5,5,Debit Card,10414.0,2025-01-27,Paid
6,6,Debit Card,11492.77,2024-10-21,Refunded
7,7,Net Banking,521.09,2023-07-28,Paid
8,8,Debit Card,2917.21,2024-06-25,Paid
9,9,COD,14109.54,2025-05-26,Refunded
10,10,UPI,12018.36,2025-02-23,Paid
11,11,COD,8248.56,2023-07-26,Paid
12,12,COD,865.21,2025-02-10,Paid
13,13,COD,5430.11,2023-10-05,Paid
14,14,COD,5242.37,2024-10-22,Refunded
15,15,Net Banking,10427.81,2024-06-02,Paid
16,16,Debit Card,11623.28,2025-02-22,Refunded
17,17,UPI,13577.65,2024-04-16,Refunded
18,18,Debit Card,5715.15,2024-05-05,Refunded
19,19,Net Banking,7027.29,2023-12-10,Refunded
20,20,UPI,7890.55,2023-11-16,Refunded
21,21,Debit Card,8832.98,2024-08-10,Paid
22,22,Debit Card,3699.25,2024-04-09,Paid
23,23,COD,6552.53,2023-09-12,Refunded
24,24,COD,2443.94,2024-05-29,Paid
25,25,Net Banking,12306.65,2024-10-24,Refunded
26,26,UPI,7178.69,2024-06-28,Refunded
27,27,UPI,2106.98,2023-12-13,Refunded
28,28,Net Banking,9143.31,2024-04-30,Refunded
29,29,COD,1303.03,2024-01-26,Paid
30,30,UPI,4556.85,2023-12-21,Paid
31,31,UPI,11800.3,2024-06-24,Paid
32,32,UPI,5822.85,2024-08-19,Refunded
33,33,COD,10456.82,2023-11-11,Paid
34,34,UPI,2075.1,2023-07-14,Refunded
35,35,Net Banking,8098.22,2023-12-22,Paid
36,36,UPI,13899.39,2024-01-28,Paid
37,37,Net Banking,1764.04,2025-02-23,Paid
38,38,Debit Card,6446.5,2024-07-16,Refunded
39,39,UPI,9909.6,2023-12-30,Refunded
40,40,Net Banking,6450.92,2025-04-26,Paid
41,41,COD,11183.18,2025-01-08,Paid
42,42,COD,7393.95,2023-10-29,Refunded
43,43,COD,9420.67,2024-01-02,Refunded
44,44,Debit Card,7499.51,2024-10-29,Refunded
45,45,Net Banking,14643.43,2024-04-06,Refunded
46,46,COD,10695.23,2023-12-20,Paid
47,47,Net Banking,13035.84,2024-06-16,Refunded
48,48,Net Banking,7605.9,2024-08-07,Refunded
49,49,Debit Card,1737.43,2025-04-12,Paid
50,50,Debit Card,12962.16,2024-03-10,Refunded
51,51,Debit Card,11948.5,2024-10-28,Refunded
52,52,Net Banking,2314.47,2023-06-25,Refunded
53,53,UPI,5062.76,2023-08-20,Refunded
54,54,Debit Card,3016.38,2025-04-29,Refunded
55,55,Net Banking,12795.43,2024-12-25,Paid
56,56,COD,6663.55,2025-04-19,Paid
57,57,UPI,6121.65,2024-10-27,Paid
58,58,Net Banking,11578.71,2023-06-28,Paid
59,59,Net Banking,12284.25,2025-03-31,Paid
60,60,COD,8643.31,2025-05-27,Paid
61,61,COD,8065.46,2024-09-12,Refunded
62,62,Debit Card,8528.35,2025-06-12,Refunded
63,63,Net Banking,2984.28,2023-12-27,Refunded
64,64,COD,5751.51,2023-12-19,Paid
65,65,COD,7055.24,2025-03-24,Refunded
66,66,Net Banking,14340.4,2023-11-12,Paid
67,67,Debit Card,12414.41,2023-11-18,Paid
68,68,Debit Card,4695.83,2024-11-04,Paid
69,69,COD,12165.82,2024-09-16,Paid
70,70,Debit Card,2250.73,2023-07-27,Refunded
71,71,UPI,1721.62,2025-04-19,Paid
72,72,Debit Card,4437.84,2024-01-22,Paid
73,73,COD,5126.35,2024-11-30,Paid
74,74,Net Banking,569.85,2024-09-06,Refunded
75,75,COD,10105.85,2025-03-09,Refunded
76,76,Net Banking,9133.08,2024-04-05,Refunded
77,77,Net Banking,8985.95,2024-05-20,Refunded
78,78,Debit Card,1009.49,2024-09-13,Refunded
79,79,Net Banking,8449.02,2024-03-10,Refunded
80,80,UPI,12857.29,2024-07-21,Paid
81,81,UPI,1729.53,2024-07-02,Paid
82,82,Net Banking,4251.61,2024-04-16,Paid
83,83,Debit Card,3477.52,2024-01-29,Refunded
84,84,Net Banking,13775.11,2024-10-15,Paid
85,85,UPI,14539.53,2025-06-15,Refunded
86,86,Debit Card,3846.23,2024-03-14,Paid
87,87,Debit Card,566.0,2024-10-13,Paid
88,88,COD,6696.3,2024-01-04,Refunded
89,89,UPI,13730.43,2023-11-14,Paid
90,90,Debit Card,1186.76,2024-01-22,Paid
91,91,COD,4905.46,2023-11-05,Paid
92,92,Net Banking,10948.66,2024-09-11,Paid
93,93,Debit Card,12980.62,2025-01-03,Refunded
94,94,UPI,10358.46,2025-04-26,Paid
95,95,Debit Card,3139.39,2025-06-16,Paid
96,96,Debit Card,10168.17,2025-02-19,Refunded
97,97,Net Banking,6783.02,2025-02-22,Paid
98,98,COD,5547.29,2023-10-23,Paid
99,99,UPI,9790.61,2025-03-13,Refunded
100,100,UPI,13457.91,2024-07-07,Paid
101,101,Net Banking,4107.17,2023-07-03,Paid
102,102,Net Banking,5523.45,2024-09-27,Refunded
103,103,Debit Card,13650.75,2024-01-11,Paid
104,104,UPI,8837.5,2025-04-14,Refunded
105,105,Net Banking,14178.45,2024-06-05,Refunded
106,106,UPI,12865.84,2023-07-09,Refunded
107,107,COD,2521.29,2024-10-16,Refunded
108,108,Debit Card,8773.64,2025-01-08,Refunded
109,109,Net Banking,3645.33,2025-06-01,Paid
110,110,COD,4822.92,2024-09-20,Refunded
111,111,Debit Card,14458.62,2023-10-23,Paid
112,112,Debit Card,8784.45,2025-02-27,Paid
113,113,UPI,1090.13,2024-10-10,Paid
114,114,Net Banking,1325.53,2025-04-16,Paid
115,115,Net Banking,433.17,2024-02-23,Refunded
116,116,Debit Card,10453.9,2024-03-24,Paid
117,117,Net Banking,8766.82,2025-03-15,Refunded
118,118,UPI,12376.24,2024-01-03,Refunded
119,119,Debit Card,13743.28,2023-11-07,Refunded
120,120,COD,11640.83,2023-07-02,Paid
121,121,COD,2605.58,2023-12-16,Refunded
122,122,Net Banking,247.53,2023-08-17,Paid
123,123,Debit Card,6202.57,2025-06-09,Refunded
124,124,UPI,14820.78,2025-01-17,Paid
125,125,Net Banking,7801.86,2023-10-06,Paid
126,126,COD,14779.9,2024-05-01,Refunded
127,127,COD,9469.46,2024-04-01,Paid
128,128,COD,12971.09,2023-10-01,Paid
129,129,COD,2354.16,2025-04-09,Refunded
130,130,Net Banking,9821.52,2023-07-04,Paid
131,131,UPI,2716.9,2023-07-25,Paid
132,132,COD,1039.67,2023-07-24,Refunded
133,133,UPI,10210.33,2024-10-18,Refunded
134,134,Net Banking,8083.68,2024-08-04,Refunded
135,135,UPI,11191.91,2024-08-25,Refunded
136,136,Net Banking,2419.11,2024-07-05,Paid
137,137,UPI,8053.13,2025-02-05,Paid
138,138,Debit Card,3886.17,2025-03-18,Paid
139,139,Net Banking,13667.41,2024-06-02,Refunded
140,140,UPI,8007.01,2023-09-26,Paid
141,141,Debit Card,3355.05,2024-05-15,Refunded
142,142,Debit Card,14964.48,2025-03-24,Refunded
143,143,Net Banking,2031.74,2025-02-04,Refunded
144,144,COD,1114.6,2023-08-28,Refunded
145,145,Net Banking,12924.27,2025-02-21,Refunded
146,146,Debit Card,7842.38,2024-02-13,Paid
147,147,Debit Card,8903.03,2025-01-07,Paid
148,148,Net Banking,10635.44,2023-10-28,Refunded
149,149,COD,10815.74,2024-11-17,Paid
150,150,Debit Card,3055.37,2025-05-31,Refunded
151,151,Debit Card,5837.54,2024-02-24,Refunded
152,152,Debit Card,7851.84,2023-06-22,Refunded
153,153,UPI,12288.44,2023-11-05,Paid
154,154,Debit Card,14677.0,2024-05-25,Paid
155,155,Net Banking,6204.85,2024-02-29,Refunded
156,156,Debit Card,6053.22,2025-04-18,Refunded
157,157,Debit Card,7243.73,2024-06-16,Paid
158,158,COD,4402.06,2024-05-10,Refunded
159,159,UPI,1978.32,2024-01-02,Refunded
160,160,Net Banking,1807.89,2024-09-19,Refunded
161,161,Net Banking,14314.18,2023-12-10,Refunded
162,162,COD,11979.52,2023-07-02,Refunded
163,163,COD,5063.77,2023-08-16,Refunded
164,164,UPI,5019.02,2024-02-01,Refunded
165,165,COD,1064.96,2024-10-17,Paid
166,166,Debit Card,2599.18,2023-09-10,Paid
167,167,UPI,7321.49,2024-06-07,Paid
168,168,COD,7509.99,2023-12-14,Paid
169,169,Debit Card,9027.6,2024-02-21,Paid
170,170,Debit Card,11261.28,2023-06-28,Paid
171,171,Net Banking,5796.56,2024-02-11,Paid
172,172,COD,1868.22,2023-10-17,Paid
173,173,UPI,107.92,2025-01-04,Refunded
174,174,UPI,10346.68,2024-09-22,Paid
175,175,COD,456.7,2025-02-24,Refunded
176,176,Net Banking,11269.23,2024-09-29,Paid
177,177,COD,8449.34,2024-01-23,Paid
178,178,Debit Card,10904.67,2024-05-11,Refunded
179,179,COD,7307.26,2024-02-11,Refunded
180,180,COD,7105.82,2024-06-08,Paid
181,181,Net Banking,6468.46,2024-04-01,Refunded
182,182,Net Banking,10502.71,2024-12-23,Refunded
183,183,Debit Card,7396.67,2024-05-19,Refunded
184,184,UPI,2982.13,2025-05-17,Paid
185,185,Net Banking,3019.04,2024-12-30,Paid
186,186,Net Banking,3125.3,2024-06-23,Refunded
187,187,Net Banking,6923.13,2024-01-17,Paid
188,188,COD,12805.98,2023-12-09,Refunded
189,189,UPI,13221.68,2025-01-15,Paid
190,190,Net Banking,3840.81,2024-07-24,Paid
191,191,Debit Card,13682.79,2024-01-18,Refunded
192,192,Debit Card,3159.37,2023-07-18,Refunded
193,193,COD,8641.27,2025-01-07,Paid
194,194,Debit Card,1597.46,2023-08-20,Paid
195,195,COD,2320.85,2024-04-01,Paid
196,196,Net Banking,1868.22,2025-06-01,Refunded
197,197,COD,11398.64,2025-01-17,Refunded
198,198,COD,761.66,2023-10-25,Paid
199,199,Net Banking,3041.09,2023-11-18,Paid
200,200,COD,11086.86,2023-12-23,Paid
201,201,UPI,7456.93,2023-07-27,Paid
202,202,COD,13502.29,2024-04-20,Paid
203,203,UPI,3928.49,2024-01-30,Refunded
204,204,UPI,7577.19,2024-11-02,Paid
205,205,COD,8168.09,2023-11-21,Refunded
206,206,COD,7412.54,2023-07-14,Paid
207,207,Debit Card,13124.09,2024-12-14,Refunded
208,208,COD,2582.84,2023-08-05,Paid
209,209,Debit Card,3673.67,2025-04-13,Refunded
210,210,UPI,9817.81,2025-02-16,Paid
211,211,COD,127.21,2024-04-13,Refunded
212,212,Debit Card,13102.43,2024-01-01,Refunded
213,213,Debit Card,11880.04,2024-07-27,Paid
214,214,UPI,7323.55,2025-02-08,Paid
215,215,UPI,14053.88,2024-05-04,Paid
216,216,COD,1302.52,2024-05-15,Refunded
217,217,Net Banking,11225.19,2023-07-30,Refunded
218,218,COD,424.7,2025-01-17,Paid
219,219,Debit Card,4143.95,2023-11-18,Paid
220,220,Net Banking,6150.03,2024-02-09,Refunded
221,221,COD,489.15,2023-06-19,Refunded
222,222,COD,4693.84,2024-04-07,Paid
223,223,UPI,5774.4,2024-02-22,Refunded
224,224,Net Banking,12631.49,2024-02-15,Refunded
225,225,Debit Card,13733.54,2023-10-28,Refunded
226,226,UPI,14011.07,2023-08-22,Refunded
227,227,Net Banking,2426.89,2024-09-28,Refunded
228,228,Net Banking,2815.57,2024-04-12,Refunded
229,229,Debit Card,11193.23,2023-10-13,Refunded
230,230,Net Banking,1920.74,2025-03-26,Paid
231,231,Net Banking,9177.01,2023-07-22,Paid
232,232,COD,13936.26,2024-11-09,Paid
233,233,COD,2489.92,2024-03-20,Refunded
234,234,UPI,7462.95,2025-01-19,Refunded
235,235,Debit Card,13096.78,2023-11-30,Paid
236,236,Net Banking,3280.11,2024-12-11,Paid
237,237,Net Banking,2967.84,2025-04-22,Paid
238,238,UPI,4431.45,2025-02-22,Paid
239,239,COD,5247.37,2024-07-05,Refunded
240,240,UPI,8939.81,2024-05-11,Refunded
241,241,UPI,6763.8,2023-06-27,Refunded
242,242,COD,627.29,2023-06-21,Paid
243,243,UPI,12327.78,2023-07-27,Paid
244,244,Debit Card,12194.87,2024-11-14,Refunded
245,245,COD,11828.83,2024-11-20,Refunded
246,246,UPI,11918.9,2024-05-03,Refunded
247,247,Net Banking,7562.51,2025-04-04,Refunded
248,248,Net Banking,5224.51,2024-10-02,Refunded
249,249,COD,10602.92,2024-01-26,Paid
250,250,Net Banking,3426.2,2023-09-16,Paid
251,251,Net Banking,1229.11,2024-11-22,Paid
252,252,Debit Card,11896.98,2023-08-26,Refunded
253,253,COD,12098.01,2025-05-20,Refunded
254,254,COD,14373.59,2024-08-18,Paid
255,255,Debit Card,7217.11,2024-03-18,Paid
256,256,UPI,4377.6,2023-09-27,Paid
257,257,UPI,5232.03,2023-11-09,Refunded
258,258,UPI,5754.67,2024-10-25,Paid
259,259,Net Banking,11732.37,2023-07-13,Paid
260,260,COD,8399.28,2024-12-30,Refunded
261,261,COD,7837.47,2025-02-27,Refunded
262,262,Net Banking,3406.34,2025-04-16,Refunded
263,263,Net Banking,5117.68,2024-11-28,Refunded
264,264,UPI,14077.45,2025-05-19,Refunded
265,265,Debit Card,3022.36,2025-03-20,Paid
266,266,UPI,8873.44,2024-09-05,Refunded
267,267,COD,6323.25,2024-09-01,Refunded
268,268,Debit Card,6554.1,2024-08-09,Paid
269,269,Net Banking,480.58,2025-03-13,Paid
270,270,COD,10289.79,2025-03-05,Paid
271,271,Net Banking,6143.76,2025-03-22,Paid
272,272,COD,2167.4,2024-08-02,Paid
273,273,UPI,8336.67,2023-06-21,Paid
274,274,Debit Card,9732.5,2023-10-06,Refunded
275,275,COD,1052.14,2023-11-11,Refunded
276,276,Net Banking,2053.95,2024-04-05,Paid
277,277,Debit Card,10037.31,2023-10-10,Paid
278,278,Net Banking,1277.96,2023-08-12,Paid
279,279,Debit Card,6557.84,2024-09-30,Refunded
280,280,Debit Card,14766.53,2025-03-09,Refunded
281,281,Debit Card,7314.66,2025-04-14,Refunded
282,282,Debit Card,11228.93,2023-08-15,Paid
283,283,Debit Card,6076.82,2024-02-24,Refunded
284,284,Debit Card,14009.38,2024-06-28,Paid
285,285,UPI,10131.9,2025-04-24,Paid
286,286,COD,13628.97,2024-11-14,Paid
287,287,Net Banking,6522.65,2024-01-05,Paid
288,288,Debit Card,9050.08,2024-10-22,Refunded
289,289,Debit Card,1732.74,2024-04-16,Refunded
290,290,Net Banking,7899.19,2024-04-05,Refunded
291,291,COD,3491.17,2023-06-24,Paid
292,292,Debit Card,9618.26,2024-03-06,Refunded
293,293,Debit Card,6207.92,2025-03-20,Refunded
294,294,Debit Card,4187.51,2024-06-19,Paid
295,295,UPI,5154.75,2025-06-05,Refunded
296,296,Debit Card,10535.22,2024-08-13,Refunded
297,297,Debit Card,10821.75,2025-06-01,Refunded
298,298,Net Banking,2019.98,2024-04-03,Paid
299,299,COD,9375.95,2023-09-06,Paid
300,300,Net Banking,2575.51,2024-09-25,Refunded
301,301,UPI,10289.63,2025-06-01,Paid
302,302,Debit Card,14582.96,2025-04-09,Paid
303,303,COD,13949.32,2023-06-27,Paid
304,304,Net Banking,8368.88,2023-06-23,Refunded
305,305,COD,7236.57,2024-06-25,Refunded
306,306,COD,6145.63,2024-11-28,Paid
307,307,UPI,7837.54,2024-09-08,Refunded
308,308,COD,8384.4,2025-03-14,Refunded
309,309,Net Banking,1178.13,2024-08-04,Paid
310,310,Net Banking,13889.37,2025-05-14,Paid
311,311,Net Banking,975.46,2024-12-08,Paid
312,312,COD,12307.16,2023-09-04,Paid
313,313,UPI,13747.24,2023-07-13,Refunded
314,314,COD,13384.19,2023-10-08,Refunded
315,315,COD,9628.38,2025-04-30,Refunded
316,316,Net Banking,12469.89,2025-02-20,Paid
317,317,COD,7075.67,2025-03-17,Paid
318,318,Debit Card,1326.64,2025-06-06,Refunded
319,319,Net Banking,11943.18,2024-08-18,Paid
320,320,COD,12979.08,2025-02-21,Refunded
321,321,Net Banking,10023.65,2025-05-28,Paid
322,322,COD,12707.41,2024-11-03,Paid
323,323,Net Banking,4650.45,2025-02-21,Paid
324,324,Debit Card,8755.81,2025-05-16,Paid
325,325,Debit Card,8092.4,2023-09-29,Paid
